"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"Rtn3.2",0,-0.47921167194894,0.101,0.483,0,"Myonuclei (Type IIx)","Rtn3"
"Sept4.13",0,-0.47948357954696,0.006,0.145,0,"Myonuclei (Type IIx)","Sept4"
"Rnf19b.6",0,-0.479866187035139,0.018,0.284,0,"Myonuclei (Type IIx)","Rnf19b"
"Trappc4",0,-0.479908491532999,0.037,0.354,0,"Myonuclei (Type IIx)","Trappc4"
"Maged1.12",0,-0.480332117774015,0.029,0.238,0,"Myonuclei (Type IIx)","Maged1"
"Ptbp1.3",0,-0.480395254270098,0.048,0.367,0,"Myonuclei (Type IIx)","Ptbp1"
"Cnbp.7",0,-0.480574228511783,0.299,0.737,0,"Myonuclei (Type IIx)","Cnbp"
"Plekho1.11",0,-0.480945040494266,0.043,0.292,0,"Myonuclei (Type IIx)","Plekho1"
"Slc9a3r1.8",0,-0.481903222624556,0.002,0.253,0,"Myonuclei (Type IIx)","Slc9a3r1"
"Mxd4.9",0,-0.482061835977877,0.066,0.343,0,"Myonuclei (Type IIx)","Mxd4"
"Rala.2",0,-0.482366187872146,0.068,0.395,0,"Myonuclei (Type IIx)","Rala"
"Prkar1a.4",0,-0.482745184832316,0.136,0.583,0,"Myonuclei (Type IIx)","Prkar1a"
"Emd.4",0,-0.483075345217196,0.038,0.325,0,"Myonuclei (Type IIx)","Emd"
"Igsf6.16",0,-0.483298073119393,0.001,0.201,0,"Myonuclei (Type IIx)","Igsf6"
"Dnajc8.2",0,-0.483473292397888,0.105,0.443,0,"Myonuclei (Type IIx)","Dnajc8"
"Irgm1.8",0,-0.483581879603107,0.025,0.228,0,"Myonuclei (Type IIx)","Irgm1"
"Rcn2.5",0,-0.483879526481228,0.024,0.308,0,"Myonuclei (Type IIx)","Rcn2"
"Adamts1.15",0,-0.483885184914821,0.115,0.25,0,"Myonuclei (Type IIx)","Adamts1"
"Srsf7.4",0,-0.484480864439085,0.168,0.486,0,"Myonuclei (Type IIx)","Srsf7"
"Hnrnpc.2",0,-0.484555105471432,0.155,0.522,0,"Myonuclei (Type IIx)","Hnrnpc"
"Fis1",0,-0.484765250268458,0.134,0.528,0,"Myonuclei (Type IIx)","Fis1"
"Lmo4.3",0,-0.484819768131469,0.051,0.327,0,"Myonuclei (Type IIx)","Lmo4"
"Cd164.5",0,-0.484824545916696,0.044,0.352,0,"Myonuclei (Type IIx)","Cd164"
"Copb2.1",0,-0.485442474737901,0.035,0.347,0,"Myonuclei (Type IIx)","Copb2"
"Crem.9",0,-0.485819593292392,0.058,0.27,0,"Myonuclei (Type IIx)","Crem"
"Gstp1.9",0,-0.486005004074481,0.101,0.358,0,"Myonuclei (Type IIx)","Gstp1"
"Cd300a.17",0,-0.486770859027585,0.028,0.242,0,"Myonuclei (Type IIx)","Cd300a"
"Mcfd2.4",0,-0.486793482650232,0.03,0.327,0,"Myonuclei (Type IIx)","Mcfd2"
"Cap1.4",0,-0.487385745447869,0.011,0.298,0,"Myonuclei (Type IIx)","Cap1"
