"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Hcfc1",7.63955507937474e-68,-0.288490356735739,0.152,0.104,2.15840349657574e-63
"Ubap2",1.15213437555214e-67,-0.562309444085064,0.139,0.155,3.25512525124745e-63
"Dpp8",1.86334263655662e-67,-0.516298552289638,0.115,0.134,5.26450195106342e-63
"Ring1",4.84077916886438e-67,-0.556219008150135,0.146,0.162,1.36766533857925e-62
"Gm12940",1.27782561918262e-66,-0.35677992623882,0.082,0.103,3.61024072187664e-62
"Ngly1",2.05579439720995e-66,-0.26960360683954,0.149,0.103,5.80823591043728e-62
"Fxr2",2.8350842253364e-65,-0.57295457809958,0.162,0.176,8.00996346184294e-61
"Mrpl45",4.25777931898817e-65,-0.331690022605349,0.168,0.117,1.20295039099373e-60
"Farsa",5.11768054228261e-65,-0.293688124276204,0.179,0.126,1.4458982836111e-60
"Ncoa2",6.7650159685353e-65,-0.26432396525009,0.137,0.095,1.91131996159028e-60
"Ccar1",9.88976182051431e-65,-0.777664325167932,0.285,0.268,2.79415440714991e-60
"Cyhr1",3.89089555160186e-64,-0.307760034277128,0.204,0.145,1.09929472019407e-59
"Supt6",8.88587410947754e-64,-0.330589518391188,0.189,0.133,2.51052601215069e-59
"Auh",1.02749664215657e-63,-0.362735779370252,0.176,0.122,2.90298626308496e-59
"Eif5b",1.13193324904702e-63,-0.404516395706884,0.511,0.352,3.19805100853254e-59
"1700025G04Rik",1.74253555538013e-63,-0.617528426691677,0.172,0.183,4.92318570461547e-59
"Ppil4",5.67818807348284e-63,-0.643252616746835,0.201,0.206,1.60425847640111e-58
"Kif3a",1.11520686474748e-62,-0.308124568930894,0.122,0.083,3.15079395497106e-58
"Pmm2",1.98502355158123e-62,-0.294053350854049,0.146,0.101,5.60828704028246e-58
"Fbxw7",1.07300914941845e-61,-0.570122523820993,0.118,0.135,3.03157274985194e-57
"Gramd1b",2.92865966691689e-61,-0.538977915115458,0.094,0.112,8.27434215694029e-57
"Acox1",4.54389823829686e-61,-0.272889780806924,0.153,0.108,1.28378756926601e-56
"Orc4",6.0783596529014e-61,-0.289847573232337,0.154,0.108,1.71731895273423e-56
"Wdr33",7.09990555642932e-60,-0.564957333385878,0.142,0.156,2.00593631685798e-55
"Aff4",1.00549331369903e-59,-0.411337793871365,0.331,0.232,2.84082025919386e-55
"Bod1l",1.26684596671357e-59,-0.787731917894276,0.309,0.283,3.57921990975585e-55
"Zfp644",1.62207442000037e-59,-0.697789162045449,0.248,0.241,4.58284685882704e-55
"Itsn1",1.70180958577321e-59,-0.609077433208877,0.161,0.172,4.80812262268505e-55
"Pom121",4.73516957262286e-59,-0.286424373585059,0.14,0.098,1.33782745935314e-54
"Cbx5",2.5922601425086e-58,-0.335806791710655,0.188,0.135,7.32391258062954e-54
"Smg5",4.3881799346194e-58,-0.377548451545039,0.083,0.102,1.23979247692802e-53
"Prdm2",5.86163069093339e-58,-0.336310290659722,0.192,0.136,1.65608651910941e-53
"Eif4enif1",4.80229759086328e-57,-0.492242944541096,0.121,0.137,1.3567931383466e-52
"Setd8",3.0587907405709e-56,-0.41334123813009,0.215,0.153,8.64200147933497e-52
"Galt",8.10517528751153e-56,-0.417899782822863,0.094,0.112,2.28995517398063e-51
"Tenc1",4.53428243374262e-55,-0.471138172904309,0.122,0.139,1.2810708160053e-50
"Stag1",4.8431921746042e-55,-0.721882862646252,0.249,0.239,1.36834708509092e-50
"Kpna1",1.01992860455277e-54,-0.648433812737929,0.197,0.2,2.88160428644293e-50
"Cdk11b",1.18372640986815e-54,-0.368868812339192,0.337,0.242,3.34438222580047e-50
"Rab24",1.51051586146656e-54,-0.374681097398751,0.264,0.191,4.26766046340147e-50
"Mob1b",2.50715794748909e-54,-0.320884128271514,0.161,0.115,7.08347334904092e-50
"St7l",3.24432322536355e-54,-0.548922114757721,0.116,0.131,9.16618640861964e-50
"Rsbn1",4.96980717645531e-54,-0.312972415197814,0.185,0.133,1.40411962156392e-49
"Slain2",5.28874496945335e-54,-0.678616882405684,0.229,0.225,1.49422911621966e-49
"Klhdc4",5.86610171455955e-54,-0.485484452519914,0.114,0.13,1.65734971741451e-49
"Lrch3",7.21648317336425e-54,-0.280580388603405,0.145,0.103,2.0388729909706e-49
"2810004N23Rik",1.35342120069658e-53,-0.318129719711441,0.148,0.105,3.82382091832806e-49
"Arfrp1",1.39779200039114e-53,-0.315835253946093,0.207,0.15,3.9491817387051e-49
