"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Ptprc",0,0.41311476948934,0.835,0.751,0,"Monocyte (Patrolling)","Ptprc"
"Marcksl1",0,0.412550178421187,0.586,0.443,0,"Monocyte (Patrolling)","Marcksl1"
"Pilra",0,0.408459382927396,0.357,0.219,0,"Monocyte (Patrolling)","Pilra"
"Msrb1",0,0.407504425183621,0.805,0.701,0,"Monocyte (Patrolling)","Msrb1"
"Mcl1",0,0.407050005551147,0.946,0.893,0,"Monocyte (Patrolling)","Mcl1"
"Adam8",0,0.406386464142825,0.575,0.439,0,"Monocyte (Patrolling)","Adam8"
"Plcb1",0,0.406257437472835,0.191,0.031,0,"Monocyte (Patrolling)","Plcb1"
"Mnda",0,0.405684242394816,0.458,0.31,0,"Monocyte (Patrolling)","Mnda"
"Sde2",0,0.405603210650937,0.574,0.416,0,"Monocyte (Patrolling)","Sde2"
"Ptafr",0,0.40424804544961,0.649,0.56,0,"Monocyte (Patrolling)","Ptafr"
"Fem1c",0,0.404244938085303,0.591,0.439,0,"Monocyte (Patrolling)","Fem1c"
"Malt1",0,0.404210619860107,0.309,0.171,0,"Monocyte (Patrolling)","Malt1"
"Tkt",0,0.403882916338414,0.804,0.703,0,"Monocyte (Patrolling)","Tkt"
"Capza2",0,0.403042580060818,0.928,0.871,0,"Monocyte (Patrolling)","Capza2"
"Pde4b",0,0.402891716546394,0.446,0.299,0,"Monocyte (Patrolling)","Pde4b"
"Nab1",0,0.402542684661693,0.479,0.33,0,"Monocyte (Patrolling)","Nab1"
"Ninj1",0,0.401192130862654,0.819,0.747,0,"Monocyte (Patrolling)","Ninj1"
"Agpat4",0,0.39960011267228,0.431,0.252,0,"Monocyte (Patrolling)","Agpat4"
"Stap1",0,0.398767607284393,0.305,0.166,0,"Monocyte (Patrolling)","Stap1"
"Crem",0,0.397860537186201,0.468,0.333,0,"Monocyte (Patrolling)","Crem"
"Nfkb1",0,0.397669422347005,0.563,0.441,0,"Monocyte (Patrolling)","Nfkb1"
"Irg1",0,0.397168319965974,0.11,0.029,0,"Monocyte (Patrolling)","Irg1"
"Nfkbie",0,0.392786034069004,0.417,0.251,0,"Monocyte (Patrolling)","Nfkbie"
"Eif4a1",0,0.392438099426759,0.953,0.908,0,"Monocyte (Patrolling)","Eif4a1"
"Jhdm1d",0,0.391737633378174,0.563,0.444,0,"Monocyte (Patrolling)","Jhdm1d"
"Pirb",0,0.391474289055615,0.708,0.6,0,"Monocyte (Patrolling)","Pirb"
"Ezr",0,0.391278259148919,0.559,0.436,0,"Monocyte (Patrolling)","Ezr"
"Dok2",0,0.388409647135229,0.457,0.317,0,"Monocyte (Patrolling)","Dok2"
"Mapkapk2",0,0.387656131304762,0.692,0.597,0,"Monocyte (Patrolling)","Mapkapk2"
"Ero1l",0,0.387001996236003,0.278,0.17,0,"Monocyte (Patrolling)","Ero1l"
"Slfn1",0,0.38641983716449,0.31,0.162,0,"Monocyte (Patrolling)","Slfn1"
"Spag9",0,0.386029310312365,0.765,0.64,0,"Monocyte (Patrolling)","Spag9"
"Slfn4",0,0.385107314327465,0.239,0.112,0,"Monocyte (Patrolling)","Slfn4"
"Rbpj",0,0.38488400015432,0.586,0.459,0,"Monocyte (Patrolling)","Rbpj"
"Atp1b3",0,0.3836669147717,0.713,0.614,0,"Monocyte (Patrolling)","Atp1b3"
"Ldha",0,0.383537206764859,0.858,0.795,0,"Monocyte (Patrolling)","Ldha"
"Abracl",0,0.383293656922728,0.843,0.758,0,"Monocyte (Patrolling)","Abracl"
"Rap1b",0,0.379244301474288,0.928,0.884,0,"Monocyte (Patrolling)","Rap1b"
"Bcl2l11",0,0.378208900743239,0.521,0.396,0,"Monocyte (Patrolling)","Bcl2l11"
"Dbi",0,0.376443066328669,0.894,0.836,0,"Monocyte (Patrolling)","Dbi"
"Nfkbib",0,0.373795202207597,0.516,0.387,0,"Monocyte (Patrolling)","Nfkbib"
"Arhgef10l",0,0.373203159021053,0.36,0.214,0,"Monocyte (Patrolling)","Arhgef10l"
"Emp3",0,0.37273007353067,0.957,0.903,0,"Monocyte (Patrolling)","Emp3"
"Ppig",0,0.37263066689816,0.663,0.574,0,"Monocyte (Patrolling)","Ppig"
"Tln1",0,0.371279165610777,0.761,0.68,0,"Monocyte (Patrolling)","Tln1"
"Ywhaz",0,0.367863332025619,0.752,0.659,0,"Monocyte (Patrolling)","Ywhaz"
"H3f3b",0,0.367303849616597,0.997,0.991,0,"Monocyte (Patrolling)","H3f3b"
"Rnf149",0,0.366673603247391,0.527,0.404,0,"Monocyte (Patrolling)","Rnf149"
"Ell2",0,0.365329107508477,0.38,0.258,0,"Monocyte (Patrolling)","Ell2"
"Uck2.1",0,0.363435032524095,0.224,0.083,0,"Monocyte (Patrolling)","Uck2.1"
"Alcam",0,0.363362865232405,0.45,0.315,0,"Monocyte (Patrolling)","Alcam"
"Gpr132",0,0.363286093199728,0.451,0.247,0,"Monocyte (Patrolling)","Gpr132"
"Srsf5",0,0.362330412290546,0.795,0.697,0,"Monocyte (Patrolling)","Srsf5"
"Clec4a1",0,0.36230798105033,0.634,0.465,0,"Monocyte (Patrolling)","Clec4a1"
"Nupr1",0,0.359654148999167,0.405,0.275,0,"Monocyte (Patrolling)","Nupr1"
"AI504432",0,0.359342944971702,0.304,0.163,0,"Monocyte (Patrolling)","AI504432"
"Fgr",0,0.358173295041545,0.42,0.271,0,"Monocyte (Patrolling)","Fgr"
"Sgms2",0,0.354360598502424,0.227,0.099,0,"Monocyte (Patrolling)","Sgms2"
"Fam129b",0,0.353421374783899,0.556,0.41,0,"Monocyte (Patrolling)","Fam129b"
"Ms4a8a",0,0.352273182438948,0.216,0.058,0,"Monocyte (Patrolling)","Ms4a8a"
"H2afj",0,0.35205810592471,0.792,0.722,0,"Monocyte (Patrolling)","H2afj"
"Psma7",0,0.352020613367573,0.881,0.819,0,"Monocyte (Patrolling)","Psma7"
"Ptp4a1",0,0.350961328041406,0.692,0.568,0,"Monocyte (Patrolling)","Ptp4a1"
"Tmed5",0,0.349626396279689,0.651,0.549,0,"Monocyte (Patrolling)","Tmed5"
"Bst1",0,0.348953114478682,0.298,0.176,0,"Monocyte (Patrolling)","Bst1"
"Ndel1",0,0.346428590720883,0.636,0.518,0,"Monocyte (Patrolling)","Ndel1"
